"Cidade","Rede","Série","Disciplina","Matriculados na Série","Taxa de Participação (%)","Percentual Insuficiente (%)","Percentual Básico (%)","Percentual Proficiente (%)","Percentual Avançado (%)","Percentual Aprendizado Adequado (%)","Crescimento entre 2011 e 2013 (pp*)"
"Lastro","Municipal","5º ano","Português","29","89.66","50","30.77","11.54","7.69","19.23","3.1"
"Livramento","Municipal","5º ano","Português","77","88.31","23.86","46.64","26.76","2.74","29.5","0"
"Logradouro","Municipal","5º ano","Português","66","93.94","24.44","50.17","23.87","1.52","25.38","0"
"Lucena","Municipal","5º ano","Português","182","85.16","51.5","36.64","9.83","2.03","11.86","-11.09"
"Mãe D'água","Municipal","5º ano","Português","31","100","45.26","35.33","6.48","12.93","19.41","-27.47"
"Malta","Municipal","5º ano","Português","76","89.47","35.46","35.7","18.87","9.970000000000001","28.84","4.7"
"Mamanguape","Municipal","5º ano","Português","519","89.02","51.59","36.04","10.44","1.93","12.37","-4.14"
"Manaíra","Municipal","5º ano","Português","56","71.43000000000001","20.85","47.97","28.47","2.71","31.18","19.23"
"Marcação","Municipal","5º ano","Português","49","89.8","64.22","35.78","0","0","0","-5.26"
"Mari","Municipal","5º ano","Português","128","84.38","44.47","43.15","11.63","0.75","12.38","-4.94"
"Marizópolis","Municipal","5º ano","Português","45","82.22","19.19","53.83","18.79","8.19","26.99","5.25"
"Massaranduba","Municipal","5º ano","Português","106","93.40000000000001","35.89","42.53","18.45","3.13","21.58","5.36"
"Mataraca","Municipal","5º ano","Português","123","82.93000000000001","45","42.14","12.86","0","12.86","8.49"
"Matinhas","Municipal","5º ano","Português","Sem dados*","Sem dados*","Sem dados*","Sem dados*","Sem dados*","Sem dados*","Sem dados*","Sem dados*"
"Mato Grosso","Municipal","5º ano","Português","30","93.33","39.27","46.44","10.73","3.56","14.29","0.51"
